day,play,outlook,temp,humidity,wind
D93,Yes,Rain,Cool,Normal,Strong
D94,Yes,Overcast,Hot,Normal,Strong
D95,Yes,Sunny,Mild,High,Weak
D96,No,Sunny,Mild,Normal,Strong
D97,Yes,Rain,Cool,Normal,Weak
D98,No,Sunny,Hot,Normal,Weak
D99,Yes,Rain,Mild,Normal,Weak
D100,Yes,Rain,Mild,High,Strong
D101,No,Sunny,Hot,Normal,Weak
D102,Yes,Sunny,Hot,High,Strong
D103,Yes,Overcast,Hot,High,Weak
D104,Yes,Overcast,Hot,High,Weak
D105,Yes,Overcast,Hot,High,Strong
D106,Yes,Overcast,Mild,Normal,Strong
D107,No,Rain,Cool,High,Weak
D108,No,Rain,Hot,High,Strong
D109,No,Rain,Hot,High,Weak
D110,Yes,Overcast,Cool,Normal,Strong
D111,Yes,Sunny,Cool,Normal,Strong
D112,Yes,Overcast,Mild,High,Weak
D113,No,Sunny,Hot,High,Strong
D114,Yes,Overcast,Mild,High,Weak
D115,Yes,Sunny,Mild,Normal,Strong
D116,No,Sunny,Cool,High,Strong
D117,Yes,Sunny,Cool,Normal,Weak
D118,Yes,Overcast,Mild,Normal,Weak
D119,Yes,Rain,Mild,Normal,Strong
D120,Yes,Rain,Mild,Normal,Weak
D121,Yes,Overcast,Mild,Normal,Weak
D122,Yes,Overcast,Mild,Normal,Strong
D123,Yes,Sunny,Cool,Normal,Strong
D124,No,Sunny,Hot,Normal,Weak
D125,Yes,Overcast,Mild,Normal,Weak
D126,Yes,Rain,Cool,Normal,Weak
D127,No,Rain,Mild,High,Strong
D128,Yes,Rain,Mild,Normal,Weak
D129,Yes,Overcast,Mild,Normal,Weak
D130,No,Sunny,Mild,High,Strong
D131,Yes,Rain,Cool,High,Weak
D132,Yes,Overcast,Mild,Normal,Weak
D133,Yes,Sunny,Cool,Normal,Weak
D134,Yes,Overcast,Mild,Normal,Weak
D135,Yes,Sunny,Mild,Normal,Weak
D136,No,Sunny,Hot,Normal,Weak
D137,No,Sunny,Hot,High,Weak
D138,Yes,Rain,Mild,High,Weak
D139,Yes,Overcast,Cool,Normal,Weak
D140,Yes,Overcast,Cool,Normal,Weak
D141,Yes,Overcast,Mild,Normal,Weak
D142,No,Sunny,Cool,High,Weak
D143,No,Sunny,Mild,High,Strong
D144,No,Rain,Cool,High,Weak
D145,No,Sunny,Hot,High,Strong
D146,No,Sunny,Mild,High,Strong
D147,Yes,Sunny,Cool,Normal,Weak
D148,No,Sunny,Cool,High,Strong
D149,Yes,Overcast,Cool,Normal,Weak
D150,No,Sunny,Mild,Normal,Weak
D151,Yes,Sunny,Cool,Normal,Weak
D152,No,Rain,Mild,Normal,Weak
D153,Yes,Overcast,Mild,High,Weak
D154,Yes,Rain,Hot,Normal,Strong
D155,Yes,Sunny,Mild,Normal,Strong
D156,Yes,Overcast,Cool,High,Weak
D157,No,Sunny,Hot,High,Strong
D158,No,Sunny,Mild,High,Weak
D159,Yes,Rain,Cool,Normal,Weak
D160,No,Rain,Mild,High,Weak
D161,No,Sunny,Mild,High,Strong
D162,No,Rain,Cool,High,Strong
D163,No,Rain,Hot,Normal,Weak
D164,Yes,Rain,Mild,Normal,Weak
D165,No,Sunny,Hot,High,Strong
D166,No,Sunny,Hot,High,Strong
D167,Yes,Rain,Mild,Normal,Weak
D168,Yes,Sunny,Mild,Normal,Weak
D169,Yes,Rain,Mild,High,Weak
D170,Yes,Overcast,Hot,Normal,Weak
D171,Yes,Rain,Mild,High,Weak
D172,Yes,Overcast,Cool,Normal,Weak
D173,No,Sunny,Mild,High,Strong
D174,Yes,Overcast,Mild,High,Strong
D175,Yes,Overcast,Cool,Normal,Weak
D176,Yes,Rain,Cool,Normal,Weak
D177,Yes,Rain,Mild,Normal,Strong
D178,Yes,Rain,Mild,Normal,Weak
D179,No,Rain,Cool,High,Weak
D180,Yes,Overcast,Hot,Normal,Weak
D181,Yes,Overcast,Mild,Normal,Weak
D182,No,Rain,Hot,High,Strong
D183,Yes,Overcast,Cool,Normal,Weak
D184,Yes,Overcast,Hot,High,Weak
D185,No,Sunny,Cool,High,Strong
D186,Yes,Overcast,Cool,Normal,Weak
D187,Yes,Sunny,Hot,Normal,Weak
D188,Yes,Overcast,Hot,Normal,Weak
D189,Yes,Rain,Cool,High,Weak
D190,Yes,Overcast,Hot,High,Weak
D191,Yes,Rain,Mild,High,Weak
D192,Yes,Rain,Mild,Normal,Strong
D193,Yes,Rain,Mild,Normal,Weak
D194,Yes,Rain,Mild,Normal,Weak
D195,No,Rain,Mild,High,Strong
D196,Yes,Rain,Mild,Normal,Weak
D197,Yes,Rain,Mild,Normal,Strong
D198,Yes,Rain,Mild,Normal,Strong
D199,No,Rain,Hot,High,Strong
D200,Yes,Sunny,Mild,High,Weak
D201,Yes,Rain,Hot,High,Strong
D202,No,Rain,Cool,High,Strong
D203,Yes,Sunny,Hot,Normal,Strong
D204,No,Sunny,Mild,Normal,Strong
D205,No,Sunny,Cool,Normal,Weak
D206,Yes,Sunny,Hot,Normal,Strong
D207,Yes,Rain,Mild,Normal,Weak
D208,No,Sunny,Mild,High,Strong
D209,Yes,Sunny,Mild,Normal,Strong
D210,Yes,Overcast,Mild,High,Weak
D211,No,Sunny,Cool,High,Weak
D212,Yes,Rain,Mild,Normal,Weak
D213,No,Rain,Mild,High,Strong
D214,No,Sunny,Hot,High,Strong
D215,Yes,Overcast,Mild,Normal,Strong
D216,Yes,Overcast,Cool,Normal,Strong
D217,No,Sunny,Mild,Normal,Weak
D218,Yes,Rain,Mild,High,Weak
D219,No,Rain,Mild,High,Strong
D220,Yes,Overcast,Mild,High,Weak
D221,Yes,Sunny,Hot,High,Strong
D222,Yes,Overcast,Cool,High,Weak
D223,No,Sunny,Hot,High,Strong
D224,Yes,Overcast,Hot,Normal,Weak
D225,No,Rain,Cool,Normal,Weak
D226,Yes,Overcast,Mild,Normal,Weak
D227,No,Sunny,Hot,High,Weak
D228,Yes,Sunny,Cool,Normal,Weak
D229,No,Sunny,Mild,High,Strong
D230,No,Rain,Mild,Normal,Weak
D231,No,Rain,Mild,High,Weak
D232,No,Sunny,Cool,Normal,Strong
D233,No,Sunny,Hot,High,Strong
D234,No,Rain,Mild,High,Strong
D235,Yes,Sunny,Cool,Normal,Weak
D236,Yes,Sunny,Mild,High,Weak
D237,No,Sunny,Mild,Normal,Strong
D238,No,Rain,Hot,High,Weak
D239,Yes,Rain,Mild,Normal,Weak
D240,No,Rain,Cool,High,Strong
D241,No,Sunny,Hot,High,Strong
D242,No,Rain,Mild,High,Weak
D243,Yes,Rain,Mild,High,Strong
D244,Yes,Overcast,Cool,Normal,Weak
D245,No,Sunny,Mild,Normal,Strong
D246,Yes,Overcast,Mild,High,Weak
D247,No,Sunny,Hot,High,Weak
D248,Yes,Sunny,Cool,High,Weak
D249,No,Rain,Mild,Normal,Weak
D250,Yes,Overcast,Mild,High,Weak
D251,No,Sunny,Hot,High,Weak
D252,Yes,Overcast,Cool,Normal,Weak
D253,Yes,Sunny,Mild,Normal,Weak
D254,Yes,Overcast,Cool,Normal,Weak
D255,No,Rain,Mild,High,Strong
D256,Yes,Overcast,Hot,Normal,Weak
D257,Yes,Rain,Cool,Normal,Weak
D258,Yes,Overcast,Mild,Normal,Weak
D259,Yes,Overcast,Cool,High,Strong
D260,Yes,Overcast,Mild,Normal,Strong
D261,Yes,Sunny,Mild,Normal,Strong
D262,No,Rain,Cool,High,Weak
D263,Yes,Sunny,Cool,High,Weak
D264,No,Sunny,Mild,High,Strong
D265,Yes,Overcast,Hot,Normal,Strong
D266,Yes,Overcast,Hot,Normal,Weak
D267,Yes,Rain,Mild,High,Strong
D268,No,Sunny,Mild,High,Strong
D269,Yes,Rain,Hot,High,Strong
D270,Yes,Overcast,Mild,High,Weak
D271,No,Sunny,Mild,High,Strong
D272,No,Rain,Mild,High,Strong
D273,No,Sunny,Mild,High,Weak
D274,Yes,Rain,Hot,Normal,Weak
D275,No,Sunny,Cool,High,Strong
D276,No,Sunny,Mild,High,Strong
D277,Yes,Overcast,Hot,Normal,Weak
D278,Yes,Rain,Mild,High,Weak
D279,Yes,Overcast,Mild,Normal,Weak
D280,No,Sunny,Hot,High,Weak
D281,Yes,Overcast,Mild,High,Weak
D282,Yes,Sunny,Hot,Normal,Strong
D283,Yes,Overcast,Mild,Normal,Weak
D284,No,Sunny,Hot,High,Weak
D285,Yes,Rain,Mild,Normal,Strong
D286,No,Sunny,Cool,High,Weak
D287,Yes,Rain,Cool,High,Weak
D288,Yes,Overcast,Cool,Normal,Strong
D289,No,Sunny,Mild,High,Weak
D290,Yes,Rain,Hot,High,Strong
D291,Yes,Rain,Hot,Normal,Weak
D292,No,Rain,Mild,High,Weak
D293,Yes,Rain,Mild,Normal,Strong
D294,Yes,Sunny,Mild,High,Strong
D295,Yes,Rain,Hot,Normal,Weak
D296,No,Rain,Mild,High,Strong
D297,No,Sunny,Mild,High,Strong
D298,Yes,Overcast,Cool,Normal,Weak
D299,Yes,Overcast,Mild,Normal,Weak
D300,No,Rain,Mild,High,Weak
D301,Yes,Rain,Mild,Normal,Weak
D302,Yes,Rain,Cool,Normal,Strong
D303,No,Rain,Cool,High,Strong
D304,Yes,Rain,Hot,Normal,Strong
D305,Yes,Sunny,Mild,Normal,Weak
D306,Yes,Overcast,Mild,High,Weak
D307,Yes,Rain,Cool,Normal,Weak
D308,Yes,Overcast,Cool,Normal,Weak
D309,No,Sunny,Mild,High,Weak
D310,Yes,Sunny,Cool,Normal,Weak
D311,No,Rain,Cool,Normal,Strong
D312,Yes,Rain,Mild,High,Strong
D313,Yes,Overcast,Hot,Normal,Strong
D314,Yes,Rain,Mild,Normal,Weak
D315,Yes,Overcast,Cool,High,Weak
D316,Yes,Overcast,Cool,Normal,Weak
D317,Yes,Overcast,Cool,Normal,Strong
D318,Yes,Rain,Mild,Normal,Strong
D319,No,Rain,Hot,High,Weak
D320,Yes,Overcast,Mild,Normal,Strong
D321,Yes,Overcast,Mild,Normal,Weak
D322,Yes,Overcast,Hot,Normal,Weak
D323,No,Rain,Mild,High,Strong
D324,No,Rain,Mild,High,Weak
D325,Yes,Overcast,Cool,High,Weak
D326,No,Sunny,Mild,High,Strong
D327,No,Sunny,Mild,High,Weak
D328,Yes,Overcast,Mild,High,Strong
D329,Yes,Sunny,Cool,Normal,Weak
D330,No,Sunny,Cool,High,Weak
D331,Yes,Overcast,Mild,Normal,Weak
D332,No,Sunny,Hot,High,Strong
D333,Yes,Rain,Hot,Normal,Strong
D334,No,Sunny,Cool,High,Weak
D335,Yes,Sunny,Hot,High,Strong
D336,Yes,Overcast,Mild,Normal,Strong
D337,Yes,Sunny,Cool,High,Weak
D338,No,Rain,Mild,High,Weak
D339,Yes,Rain,Mild,Normal,Weak
D340,Yes,Overcast,Mild,High,Weak
D341,No,Sunny,Hot,High,Strong
D342,Yes,Rain,Mild,Normal,Weak
D343,Yes,Overcast,Hot,Normal,Weak
D344,No,Sunny,Mild,Normal,Strong
D345,Yes,Overcast,Mild,Normal,Strong
D346,Yes,Rain,Hot,High,Weak
D347,Yes,Rain,Cool,Normal,Weak
D348,No,Sunny,Hot,High,Strong
D349,No,Rain,Mild,High,Strong
D350,Yes,Overcast,Mild,High,Weak
D351,Yes,Overcast,Mild,Normal,Strong
D352,No,Rain,Mild,High,Strong
D353,Yes,Sunny,Mild,Normal,Weak
D354,Yes,Rain,Cool,Normal,Weak
D355,Yes,Sunny,Hot,High,Strong
D356,Yes,Rain,Mild,Normal,Strong
D357,Yes,Sunny,Cool,Normal,Weak
D358,No,Rain,Mild,High,Strong
D359,Yes,Rain,Cool,High,Weak
D360,Yes,Rain,Mild,Normal,Weak
D361,No,Rain,Hot,High,Strong
D362,No,Rain,Hot,High,Strong
D363,No,Rain,Hot,High,Strong
D364,No,Sunny,Mild,High,Strong
D365,Yes,Overcast,Cool,High,Weak
D366,Yes,Overcast,Hot,High,Weak
D367,No,Rain,Mild,High,Weak
D368,No,Sunny,Hot,Normal,Strong
D369,Yes,Overcast,Mild,Normal,Strong
D370,Yes,Overcast,Mild,High,Weak
D371,Yes,Sunny,Hot,High,Strong
D372,Yes,Rain,Cool,High,Strong
D373,No,Rain,Hot,High,Weak
D374,No,Sunny,Hot,High,Weak
D375,No,Sunny,Mild,Normal,Weak
D376,Yes,Rain,Cool,Normal,Weak
D377,No,Rain,Mild,High,Strong
D378,Yes,Overcast,Mild,High,Strong
D379,Yes,Overcast,Hot,Normal,Weak
D380,No,Rain,Hot,High,Weak
D381,Yes,Overcast,Cool,Normal,Strong
D382,Yes,Sunny,Mild,Normal,Weak
D383,Yes,Sunny,Hot,Normal,Weak
D384,No,Rain,Mild,High,Strong
D385,No,Sunny,Mild,High,Weak
D386,Yes,Rain,Cool,Normal,Weak
D387,Yes,Rain,Cool,Normal,Strong
D388,No,Sunny,Cool,High,Strong
D389,Yes,Overcast,Hot,High,Strong
D390,Yes,Overcast,Mild,Normal,Weak
D391,Yes,Overcast,Cool,High,Strong
D392,No,Rain,Mild,High,Weak
D393,Yes,Overcast,Hot,Normal,Weak
D394,Yes,Overcast,Mild,Normal,Weak
D395,Yes,Sunny,Mild,Normal,Weak
D396,No,Sunny,Mild,Normal,Weak
D397,Yes,Sunny,Cool,Normal,Weak
D398,Yes,Rain,Cool,Normal,Strong
D399,No,Sunny,Mild,High,Weak
D400,No,Rain,Hot,High,Strong
D401,Yes,Overcast,Hot,Normal,Weak
D402,No,Sunny,Mild,High,Strong
D403,Yes,Overcast,Hot,Normal,Weak
D404,Yes,Overcast,Hot,Normal,Weak
D405,No,Sunny,Cool,High,Strong
D406,Yes,Rain,Hot,Normal,Weak
D407,Yes,Rain,Cool,High,Weak
D408,Yes,Overcast,Mild,Normal,Weak
D409,No,Sunny,Mild,High,Weak
D410,No,Sunny,Mild,High,Strong
D411,Yes,Rain,Mild,High,Strong
D412,No,Sunny,Mild,High,Strong
D413,Yes,Rain,Hot,Normal,Weak
D414,No,Sunny,Hot,High,Strong
D415,No,Sunny,Hot,Normal,Weak
D416,No,Sunny,Mild,Normal,Weak
D417,Yes,Overcast,Cool,High,Weak
D418,Yes,Overcast,Cool,High,Weak
D419,No,Rain,Hot,High,Strong
D420,No,Sunny,Mild,High,Strong
D421,No,Sunny,Hot,High,Weak
D422,Yes,Sunny,Hot,Normal,Strong
D423,Yes,Overcast,Mild,High,Weak
D424,Yes,Overcast,Cool,Normal,Strong
D425,No,Sunny,Cool,High,Weak
D426,No,Rain,Hot,Normal,Strong
D427,Yes,Overcast,Cool,Normal,Strong
D428,No,Sunny,Mild,High,Weak
D429,No,Sunny,Mild,High,Strong
D430,No,Sunny,Hot,High,Weak
D431,Yes,Overcast,Cool,High,Weak
D432,Yes,Overcast,Mild,Normal,Strong
D433,No,Rain,Hot,Normal,Strong
D434,No,Rain,Hot,High,Strong
D435,No,Sunny,Hot,Normal,Strong
D436,No,Sunny,Mild,High,Strong
D437,Yes,Overcast,Mild,Normal,Weak
D438,No,Rain,Mild,High,Weak
D439,Yes,Sunny,Cool,Normal,Weak
D440,Yes,Rain,Hot,Normal,Weak
D441,No,Sunny,Mild,High,Weak
D442,No,Sunny,Cool,High,Weak
D443,No,Rain,Hot,Normal,Weak
D444,Yes,Sunny,Mild,High,Weak
D445,No,Sunny,Hot,High,Strong
D446,Yes,Overcast,Cool,Normal,Weak
D447,No,Sunny,Cool,Normal,Weak
D448,Yes,Sunny,Mild,Normal,Weak
D449,No,Sunny,Mild,Normal,Weak
D450,Yes,Overcast,Hot,Normal,Weak
D451,Yes,Sunny,Cool,High,Strong
D452,Yes,Rain,Mild,Normal,Weak
D453,No,Rain,Cool,High,Weak
D454,Yes,Rain,Cool,Normal,Weak
D455,Yes,Overcast,Cool,Normal,Strong
D456,Yes,Rain,Cool,Normal,Weak
D457,Yes,Overcast,Cool,Normal,Weak
D458,Yes,Sunny,Mild,Normal,Weak
D459,Yes,Overcast,Mild,Normal,Weak
D460,Yes,Overcast,Mild,Normal,Weak
D461,No,Sunny,Mild,High,Weak
D462,Yes,Overcast,Cool,Normal,Weak
D463,Yes,Sunny,Cool,High,Strong
D464,Yes,Overcast,Mild,Normal,Weak
D465,No,Rain,Mild,High,Weak
D466,No,Rain,Hot,High,Strong
D467,Yes,Overcast,Cool,High,Weak
D468,Yes,Rain,Mild,Normal,Weak
D469,No,Sunny,Hot,High,Weak
D470,No,Rain,Hot,High,Strong
D471,Yes,Sunny,Cool,High,Strong
D472,Yes,Sunny,Mild,Normal,Weak
D473,Yes,Overcast,Mild,Normal,Weak
D474,Yes,Overcast,Cool,Normal,Strong
D475,No,Rain,Mild,High,Weak
D476,Yes,Overcast,Hot,Normal,Strong
D477,No,Rain,Cool,High,Strong
D478,Yes,Overcast,Cool,High,Strong
D479,Yes,Overcast,Mild,Normal,Strong
D480,Yes,Overcast,Mild,Normal,Weak
D481,Yes,Overcast,Mild,Normal,Strong
D482,Yes,Overcast,Mild,High,Weak
D483,No,Sunny,Mild,High,Strong
D484,No,Sunny,Hot,High,Strong
D485,Yes,Overcast,Cool,Normal,Weak
D486,No,Sunny,Cool,High,Weak
D487,Yes,Sunny,Hot,Normal,Strong
D488,Yes,Overcast,Mild,Normal,Weak
D489,Yes,Rain,Cool,High,Weak
D490,Yes,Overcast,Mild,Normal,Weak
D491,Yes,Sunny,Cool,Normal,Weak
D492,Yes,Overcast,Cool,Normal,Weak
D493,No,Rain,Mild,High,Weak
D494,Yes,Overcast,Mild,Normal,Weak
D495,Yes,Sunny,Hot,High,Weak
D496,No,Sunny,Mild,High,Weak
D497,Yes,Sunny,Hot,Normal,Weak
D498,No,Sunny,Cool,High,Strong
D499,Yes,Overcast,Cool,Normal,Weak
D500,Yes,Rain,Hot,High,Weak
D501,No,Rain,Mild,Normal,Strong
D502,Yes,Sunny,Mild,High,Strong
D503,Yes,Sunny,Cool,Normal,Weak
D504,No,Sunny,Mild,High,Weak
D505,No,Sunny,Hot,High,Weak
D506,Yes,Overcast,Hot,Normal,Strong
D507,No,Rain,Hot,High,Weak
D508,No,Rain,Hot,High,Weak
D509,No,Rain,Cool,High,Strong
D510,Yes,Overcast,Mild,Normal,Weak
D511,Yes,Overcast,Hot,High,Weak
D512,No,Sunny,Hot,High,Strong
D513,No,Rain,Hot,High,Strong
D514,Yes,Overcast,Mild,High,Strong
D515,Yes,Sunny,Mild,Normal,Weak
D516,Yes,Sunny,Cool,Normal,Weak
D517,Yes,Sunny,Cool,Normal,Weak
D518,Yes,Overcast,Cool,Normal,Strong
D519,No,Rain,Mild,High,Strong
D520,No,Sunny,Mild,High,Strong
D521,Yes,Overcast,Cool,Normal,Weak
D522,Yes,Overcast,Mild,High,Weak
D523,No,Sunny,Hot,High,Strong
D524,Yes,Overcast,Mild,High,Weak
D525,No,Rain,Mild,Normal,Strong
D526,No,Sunny,Mild,High,Strong
D527,Yes,Rain,Mild,Normal,Strong
D528,No,Rain,Mild,Normal,Weak
D529,Yes,Overcast,Hot,Normal,Weak
D530,Yes,Sunny,Cool,Normal,Weak
D531,Yes,Overcast,Mild,Normal,Strong
D532,Yes,Sunny,Hot,Normal,Weak
D533,Yes,Sunny,Mild,High,Weak
D534,Yes,Overcast,Cool,High,Weak
D535,No,Sunny,Mild,High,Weak
D536,Yes,Overcast,Mild,Normal,Weak
D537,Yes,Sunny,Mild,Normal,Weak
D538,Yes,Overcast,Mild,Normal,Weak
D539,Yes,Rain,Mild,Normal,Strong
D540,Yes,Rain,Mild,High,Strong
D541,Yes,Sunny,Mild,Normal,Strong
D542,No,Sunny,Hot,High,Strong
D543,No,Sunny,Hot,High,Strong
D544,Yes,Rain,Hot,High,Weak
D545,No,Rain,Mild,High,Strong
D546,Yes,Overcast,Mild,Normal,Weak
D547,No,Sunny,Hot,Normal,Weak
D548,No,Rain,Mild,Normal,Strong
D549,Yes,Overcast,Mild,Normal,Weak
D550,No,Sunny,Hot,Normal,Weak
D551,Yes,Rain,Mild,Normal,Strong
D552,Yes,Rain,Hot,High,Weak
D553,Yes,Overcast,Cool,Normal,Weak
D554,No,Sunny,Hot,High,Weak
D555,Yes,Overcast,Hot,Normal,Weak
D556,Yes,Overcast,Mild,Normal,Weak
D557,Yes,Sunny,Hot,High,Strong
D558,Yes,Sunny,Mild,High,Strong
D559,No,Rain,Mild,High,Strong
D560,Yes,Overcast,Cool,High,Weak
D561,No,Rain,Cool,Normal,Strong
D562,No,Rain,Hot,High,Weak
D563,Yes,Rain,Cool,Normal,Weak
D564,No,Sunny,Hot,High,Strong
D565,No,Sunny,Mild,High,Strong
D566,No,Rain,Hot,High,Strong
D567,Yes,Rain,Mild,Normal,Weak
D568,No,Rain,Hot,High,Strong
D569,Yes,Rain,Hot,High,Weak
D570,Yes,Sunny,Mild,Normal,Weak
D571,No,Sunny,Hot,Normal,Strong
D572,Yes,Overcast,Mild,Normal,Weak
D573,No,Sunny,Cool,High,Strong
D574,Yes,Rain,Cool,Normal,Weak
D575,No,Rain,Cool,High,Weak
D576,Yes,Rain,Mild,Normal,Weak
D577,Yes,Sunny,Mild,Normal,Weak
D578,No,Sunny,Mild,Normal,Weak
D579,Yes,Rain,Cool,Normal,Weak
D580,No,Sunny,Hot,High,Strong
D581,Yes,Rain,Mild,Normal,Weak
D582,Yes,Sunny,Mild,Normal,Weak
D583,Yes,Overcast,Cool,High,Weak
D584,No,Rain,Cool,High,Strong
D585,Yes,Rain,Hot,Normal,Weak
D586,No,Rain,Cool,High,Strong
D587,Yes,Rain,Mild,Normal,Strong
D588,Yes,Sunny,Cool,High,Weak
D589,Yes,Rain,Mild,High,Strong
D590,Yes,Rain,Cool,Normal,Strong
D591,No,Rain,Mild,High,Weak
D592,No,Rain,Cool,High,Weak
D593,Yes,Overcast,Mild,High,Strong
D594,No,Rain,Mild,Normal,Strong
D595,Yes,Overcast,Hot,High,Weak
D596,Yes,Sunny,Mild,High,Strong
D597,Yes,Overcast,Cool,High,Weak
D598,No,Sunny,Mild,High,Weak
D599,Yes,Sunny,Cool,Normal,Weak
D600,No,Sunny,Hot,High,Weak
D601,No,Rain,Hot,High,Strong
D602,No,Rain,Hot,High,Strong
D603,Yes,Overcast,Mild,Normal,Weak
D604,Yes,Rain,Mild,Normal,Strong
D605,Yes,Overcast,Cool,Normal,Weak
D606,Yes,Sunny,Cool,High,Weak
D607,Yes,Overcast,Cool,Normal,Weak
D608,Yes,Overcast,Hot,Normal,Weak
D609,Yes,Sunny,Mild,Normal,Strong
D610,No,Sunny,Hot,High,Strong
D611,Yes,Rain,Mild,Normal,Weak
D612,No,Rain,Hot,High,Weak
D613,Yes,Overcast,Cool,Normal,Weak
D614,Yes,Overcast,Hot,Normal,Strong
D615,No,Rain,Hot,High,Strong
D616,No,Rain,Hot,High,Weak
D617,No,Rain,Hot,High,Weak
D618,No,Sunny,Hot,High,Strong
D619,Yes,Sunny,Mild,High,Weak
D620,No,Rain,Hot,High,Strong
D621,Yes,Rain,Hot,Normal,Weak
D622,Yes,Rain,Mild,Normal,Weak
D623,Yes,Overcast,Cool,Normal,Weak
D624,No,Rain,Hot,High,Strong
D625,Yes,Overcast,Mild,Normal,Strong
D626,Yes,Rain,Mild,High,Strong
D627,No,Rain,Cool,High,Strong
D628,Yes,Rain,Cool,Normal,Weak
D629,Yes,Sunny,Cool,Normal,Weak
D630,Yes,Sunny,Cool,High,Weak
D631,Yes,Overcast,Cool,Normal,Weak
D632,No,Rain,Hot,Normal,Strong
D633,Yes,Overcast,Mild,Normal,Weak
D634,Yes,Sunny,Mild,High,Weak
D635,No,Sunny,Hot,High,Strong
D636,Yes,Rain,Hot,High,Strong
D637,Yes,Overcast,Mild,Normal,Weak
D638,Yes,Overcast,Mild,High,Strong
